slug,teamName,abbreviation,seasonMin,seasonMax,seasonCount,playerSeasonRows
ntu,"NTU",NTU,2023-24,2023-24,1,11
nw-christian,"NW Christian",NC,2014-15,2015-16,2,21
nw-indian,"NW Indian",NI,2015-16,2024-25,3,37
nw-missouri-st,"NW Missouri St.",NMS,2011-12,2011-12,1,10
nw-nazarene,"NW Nazarene",NN,2013-14,2023-24,7,84
nw-ohio,"NW Ohio",NO,2013-14,2017-18,2,27
nw-oklahoma-st,"NW Oklahoma St.",NOS,2011-12,2014-15,2,19
nyit,"NYIT",NYIT,2014-15,2019-20,4,47
oak-hills-christian,"Oak Hills Christian",OHC,2016-17,2023-24,3,25
oakland,"Oakland",OAKLAN,2010-11,2025-26,16,232
oakland-city,"Oakland City",OC,2011-12,2023-24,10,117
oakwood,"Oakwood",OAKWOO,2011-12,2024-25,7,93
oberlin,"Oberlin",OBERLI,2013-14,2019-20,6,88
obu,"OBU",OBU,2024-25,2024-25,1,11
occidental,"Occidental",OCCIDE,2023-24,2024-25,2,31
odu,"ODU",ODU,2010-11,2025-26,16,242
oglethorpe,"Oglethorpe",OGLETH,2016-17,2024-25,4,60
ohio,"Ohio",OHIO,2010-11,2025-26,16,249
ohio-chillicothe,"Ohio Chillicothe",OC,2018-19,2019-20,2,19
ohio-christian,"Ohio Christian",OC,2016-17,2024-25,4,47
ohio-dominican,"Ohio Dominican",OD,2011-12,2023-24,5,57
ohio-mid-western,"Ohio Mid-Western",OM,2014-15,2014-15,1,10
ohio-northern,"Ohio Northern",ON,2013-14,2019-20,3,35
ohio-st,"Ohio St.",OS,2010-11,2025-26,16,233
ohio-valley,"Ohio Valley",OV,2013-14,2017-18,3,42
ohio-wesleyan,"Ohio Wesleyan",OW,2024-25,2024-25,1,13
ok-state,"OK State",OS,2018-19,2025-26,8,106
oklah-baptist,"Oklah.Baptist",OKLAH.,2016-17,2016-17,1,10
oklah-christian,"Oklah.Christian",OKLAH.,2019-20,2019-20,1,15
oklah-panhandle,"Oklah.Panhandle",OKLAH.,2016-17,2017-18,2,26
oklahoma,"Oklahoma",OKLAHO,2010-11,2025-26,16,250
oklahoma-st,"Oklahoma St.",OS,2010-11,2017-18,8,153
old-westbury,"Old Westbury",OW,2014-15,2024-25,2,22
ole-miss,"Ole Miss",OM,2018-19,2025-26,8,94
olivet,"Olivet",OLIVET,2016-17,2020-21,3,38
olivet-nazarene,"Olivet Nazarene",ON,2013-14,2016-17,3,32
ollu,"OLLU",OLLU,2018-19,2024-25,5,71
omaha,"Omaha",OMAHA,2011-12,2025-26,15,210
oneonta-st,"Oneonta St.",OS,2015-16,2024-25,7,93
onu,"ONU",ONU,2019-20,2019-20,1,10
open-bible,"Open Bible",OB,2013-14,2013-14,1,12
oregon,"Oregon",OREGON,2010-11,2025-26,16,253
oregon-st,"Oregon St.",OS,2010-11,2025-26,16,241
oregon-tech,"Oregon Tech",OT,2015-16,2017-18,2,28
oru,"ORU",ORU,2010-11,2025-26,16,236
oswego-st,"Oswego St.",OS,2011-12,2011-12,1,9
ottawa,"Ottawa",OTTAWA,2016-17,2016-17,1,15
ottawa-az,"Ottawa AZ",OA,2017-18,2017-18,1,11
ouachita-baptist,"Ouachita Baptist",OB,2014-15,2017-18,3,30
ouaz,"OUAZ",OUAZ,2019-20,2019-20,1,9
our-lady-lake,"Our Lady Lake",OLL,2013-14,2017-18,5,61
ozark-christian,"Ozark Christian",OC,2023-24,2024-25,2,30
ozarks,"Ozarks",OZARKS,2016-17,2018-19,3,45
pace,"Pace",PACE,2014-15,2014-15,1,12
pacific,"Pacific",PACIFI,2010-11,2025-26,16,276
pacific-lutheran,"Pacific Lutheran",PL,2011-12,2023-24,8,111
pacific-or,"Pacific OR",PO,2024-25,2024-25,1,19
pacific-union,"Pacific Union",PU,2011-12,2023-24,7,87
pacifica,"Pacifica",PACIFI,2011-12,2013-14,3,32
